id,subset,start_sec,end_sec,duration_sec,transcript_raw,source,audio_url
40001-017,train-ut,152.340,158.500,6.160,ha dewheles gansans dhe Constantynôpel. I’n wheffes cansvledhen,lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-018,train-ut,158.860,166.450,7.590,"Mauricius, an emprour in Constantynôpel, a dhros an eskern dhe Milan in north a Italy,",lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-019,train-ut,166.870,177.600,10.730,"cyta esa i’n termyn-na in dadn y arlottes ev. An eskern a remainyas in Milan bys i’n dhewdhegves cansvledhen,",lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-020,train-ut,178.000,184.730,6.730,"pàn wrug cytesens Milan rebellya warbydn an Emprour Sans Roman, Frederick Barbarossa.",lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-021,train-ut,186.120,196.710,10.590,"Frederick a wrug appêl dhe Rainald von Dassel, Arghepscop Coloyn in Jermany rag y weres ev warbydn an rebels.",lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-022,train-ut,197.400,207.030,9.630,"Ost Rainald a spêdyas dhe fetha rebellyans an cyta, hag avell gweryson an Emprour a ros eskern an Try Mytern",lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-023,train-ut,207.350,213.970,6.620,dhe Arghepscop Coloyn. Yma an eskern gwethys bys i’n jëdh hedhyw,lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-024,train-ut,214.420,221.140,6.720,in crerva pò reliquary in dadn chif-alter Peneglos Coloyn.,lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-025,train-ut,222.110,229.250,7.140,"A les ywa inwedh fatell yw try hanow desmygys an Vyterneth, Melchior",lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-026,train-ut,229.690,237.260,7.570,Caspar ha Balthazar moy kebmyn in mesk an Jermans ès in ken nacyon vëth,lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40002-000,train-ut,2.110,18.100,15.990,I’n gwary Kernowek Origo Mundi Duw a lever dhe Noy kyns ès dos an liv brâs: Dew vgens dyth my a as glaw the gothe awartha.,lovinglivingcornish,https://www.skeulantavas.com/audio/2-l%C3%AEvyow-in-wordhen?c=nicholas-williams-podcasts-i
40002-001,train-ut,18.230,23.380,5.150,Yth yw an awel kepar ha hedna in Wordhen i’n tor’-ma.,lovinglivingcornish,https://www.skeulantavas.com/audio/2-l%C3%AEvyow-in-wordhen?c=nicholas-williams-podcasts-i
40002-002,train-ut,23.720,33.830,10.110,Yma glaw poos ow codha nans yw pelha ès dew vis hag ytho yma an pow ow codhevel livyow uthyk.,lovinglivingcornish,https://www.skeulantavas.com/audio/2-l%C3%AEvyow-in-wordhen?c=nicholas-williams-podcasts-i
40002-003,train-ut,34.660,50.980,16.320,"Dres oll Wordhen yma treven in dadn dhowr, pobel gesys heb tredan ha heb dowr dhe eva hag yma damach gwrës a vydn costya lies mylyon ewro rag y êwna.",lovinglivingcornish,https://www.skeulantavas.com/audio/2-l%C3%AEvyow-in-wordhen?c=nicholas-williams-podcasts-i
40002-004,train-ut,51.140,59.440,8.300,I’n termyn eus passys Fermoy in Conteth Corky o onen a’n tyleryow lacka oll.,lovinglivingcornish,https://www.skeulantavas.com/audio/2-l%C3%AEvyow-in-wordhen?c=nicholas-williams-podcasts-i
40002-005,train-ut,59.780,75.260,15.480,"Yma an dre-na wàr an Abhainn Mhór ( An Awan Veur ‘the Munster Blackwater’) ha pàn wrella an ryver derevel, heb faladow y fedha strêtys an dre kepar ha lydn.",lovinglivingcornish,https://www.skeulantavas.com/audio/2-l%C3%AEvyow-in-wordhen?c=nicholas-williams-podcasts-i
40002-006,train-ut,75.210,86.220,11.010,Y feu Fermoy in dadn dhowr pymthek treveth ajy dhe dheg bledhen warn ugans.,lovinglivingcornish,https://www.skeulantavas.com/audio/2-l%C3%AEvyow-in-wordhen?c=nicholas-williams-podcasts-i
40002-007,train-ut,86.670,93.950,7.280,Rag hedna an Governans a wrug parusy towlen a vydna gwetha an dre warbydn lîvyow.,lovinglivingcornish,https://www.skeulantavas.com/audio/2-l%C3%AEvyow-in-wordhen?c=nicholas-williams-podcasts-i
40002-008,train-ut,94.580,111.500,16.920,"Ervirys o byldya tomednow pò embankments , fosow parhus, yettys fros melyn ha lies ke lesta anbarhus dyw ladn an ryver ahës.",lovinglivingcornish,https://www.skeulantavas.com/audio/2-l%C3%AEvyow-in-wordhen?c=nicholas-williams-podcasts-i
40002-009,train-ut,111.910,122.260,10.350,An ober a dhalathas i’n vledhen dyw vil hag eth hag oll an oberow a veu gorfednys seyth bledhen moy adhewedhes.,lovinglivingcornish,https://www.skeulantavas.com/audio/2-l%C3%AEvyow-in-wordhen?c=nicholas-williams-podcasts-i
40002-010,train-ut,122.980,128.660,5.680,"Lebmyn, kynth yw lies tre ha cyta aral ow sùffra yn uthyk",lovinglivingcornish,https://www.skeulantavas.com/audio/2-l%C3%AEvyow-in-wordhen?c=nicholas-williams-podcasts-i
40002-011,train-ut,129.010,135.390,6.380,"dre rêson a’n lîvyow, yma strêtys Fermoy ow remainya sëgh.",lovinglivingcornish,https://www.skeulantavas.com/audio/2-l%C3%AEvyow-in-wordhen?c=nicholas-williams-podcasts-i
40002-012,train-ut,136.070,144.760,8.690,Saw res o spêna peswar deg hag eth myllyon ewro wàr an oberow-na in Fermoy yn udnyk.,lovinglivingcornish,https://www.skeulantavas.com/audio/2-l%C3%AEvyow-in-wordhen?c=nicholas-williams-podcasts-i
40002-013,train-ut,145.670,154.970,9.300,Pygebmys a vynsa costya oberow kepar hag y rag gwetha oll trevow brâs Wordhen dhyworth lîvyow?,lovinglivingcornish,https://www.skeulantavas.com/audio/2-l%C3%AEvyow-in-wordhen?c=nicholas-williams-podcasts-i
40003-000,train-ut,2.700,14.230,11.530,"An ger kebmyn rag margh ‘horse’ in Godhalek Coth o each , ha goos nessa yw hedna dhe’n ger Latyn equus ‘margh’,",lovinglivingcornish,https://www.skeulantavas.com/audio/3-margh-in-keltek?c=nicholas-williams-podcasts-i
40003-001,train-ut,14.540,30.530,15.990,"gwelys in geryow Sowsnek kepar hag equine , equestrian , h.e. Nyns yw each ûsys ganso y honen in Godhalek Wordhen hedhyw i’n jëdh, kynth ywa kebmyn i’n Scot-Godhalek.",lovinglivingcornish,https://www.skeulantavas.com/audio/3-margh-in-keltek?c=nicholas-williams-podcasts-i
40003-002,train-ut,31.530,38.680,7.150,Rag leverel margh ‘horse’ gwell yw gans Gwydhyly Wordhen an ger capall,lovinglivingcornish,https://www.skeulantavas.com/audio/3-margh-in-keltek?c=nicholas-williams-podcasts-i
40003-003,train-ut,39.100,44.450,5.350,"ha hèn a hevel bos an keth ger avell kevyl in Kernowek,",lovinglivingcornish,https://www.skeulantavas.com/audio/3-margh-in-keltek?c=nicholas-williams-podcasts-i
40003-004,train-ut,44.860,50.200,5.340,"kefys rag ensampel in hanow an blu, St Michael Penkevil",lovinglivingcornish,https://www.skeulantavas.com/audio/3-margh-in-keltek?c=nicholas-williams-podcasts-i
40003-005,train-ut,50.510,64.760,14.250,"teyr mildir dhe’n soth-ÿst a Drûrû. An form Godhalek each - yw traweythyow kefys in Wordhen in henwyn tyleryow, rag ensampel in Eachléim",lovinglivingcornish,https://www.skeulantavas.com/audio/3-margh-in-keltek?c=nicholas-williams-podcasts-i
40003-006,train-ut,65.160,70.780,5.620,‘labm an margh’ in Conteth Mayo hag Eachroim,lovinglivingcornish,https://www.skeulantavas.com/audio/3-margh-in-keltek?c=nicholas-williams-podcasts-i
40003-007,train-ut,71.270,76.590,5.320,"‘keyn margh’, ow referrya dhe form an vryn, in Conteth Galway.",lovinglivingcornish,https://www.skeulantavas.com/audio/3-margh-in-keltek?c=nicholas-williams-podcasts-i
40003-008,train-ut,77.520,90.520,13.000,"Eachroim, ‘Aughrim’ in Sownek, a veu tyller an vatel vrâs inter lu Wella Orenj ha’n Secùnd Jamys i’n vledhen mil whegh cans naw deg onen.",lovinglivingcornish,https://www.skeulantavas.com/audio/3-margh-in-keltek?c=nicholas-williams-podcasts-i
40003-009,train-ut,91.370,101.760,10.390,"I’n tavosow Brethonek each an Godhalek yw eb , ep . Nyns yw hedna kefys avell ger ino y honen naneyl,",lovinglivingcornish,https://www.skeulantavas.com/audio/3-margh-in-keltek?c=nicholas-williams-podcasts-i
40003-010,train-ut,102.120,109.850,7.730,saw y’n gwelyr traweythyow in henwyn tyleryow. An exampyl gwelha martesen yw,lovinglivingcornish,https://www.skeulantavas.com/audio/3-margh-in-keltek?c=nicholas-williams-podcasts-i
40003-011,train-ut,110.170,119.160,8.990,"Epynt in Powys, Cres Kembra. Yma an hanow Epynt ow tos dhyworth ragform * Eb-hynt",lovinglivingcornish,https://www.skeulantavas.com/audio/3-margh-in-keltek?c=nicholas-williams-podcasts-i
40003-012,train-ut,119.490,132.140,12.650,"‘fordh margh’, hedna a via Ep’hyns in Kernowek. Epynt yw tireth ledan gonyow, randir may hyll mergh ponya yn êsy.",lovinglivingcornish,https://www.skeulantavas.com/audio/3-margh-in-keltek?c=nicholas-williams-podcasts-i
40003-013,train-ut,132.480,138.860,6.380,An element Brethonek eb - yw kefys inwedh i’n ger Kernowek ebol,lovinglivingcornish,https://www.skeulantavas.com/audio/3-margh-in-keltek?c=nicholas-williams-podcasts-i
40003-014,train-ut,139.220,154.690,15.470,"‘young horse, foal’, ebol in Kembrek hag ebeul in Bretonek. Kynth yw an ger ebol kefys whegh gweyth i’n textow Kernowek, nyns usy ev nefra ow referrya dhe",lovinglivingcornish,https://www.skeulantavas.com/audio/3-margh-in-keltek?c=nicholas-williams-podcasts-i
40003-015,train-ut,154.590,165.370,10.780,vargh yonk ma’s dhe’n asen yonk usy Crist ow marhogeth warnodho De Sul Blejyow.* Hag in Creacyon an Bÿs,lovinglivingcornish,https://www.skeulantavas.com/audio/3-margh-in-keltek?c=nicholas-williams-podcasts-i
40003-016,train-ut,165.770,171.440,5.670,yma an ger drog-ebol ow styrya ‘den cales y bedn’.,lovinglivingcornish,https://www.skeulantavas.com/audio/3-margh-in-keltek?c=nicholas-williams-podcasts-i
40003-017,train-ut,173.110,180.850,7.740,"Awos oll hedna me a grës bos an gwir genen gwil devnyth a’n ger ebol dhe styrya ‘foal,",lovinglivingcornish,https://www.skeulantavas.com/audio/3-margh-in-keltek?c=nicholas-williams-podcasts-i
40004-000,train-ut,2.620,10.970,8.350,"An Werhes Ker Maria heb mar yw campollys yn fenowgh i’n Testament Nowyth,",lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-001,train-ut,11.270,18.060,6.790,saw nyns yw mencyon vëth gwrës ino naneyl a’y mabm nag a’y thas.,lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-002,train-ut,18.670,30.260,11.590,"In awayl apocryfal a veu screfys in cres an secùnd cansvledhen ny a red adro dhe Ana Sans, mabm an Werhes,",lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-003,train-ut,30.590,36.140,5.550,"hag adro dhe Joakym, hy thas ha gour ty Ana.",lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-004,train-ut,36.570,47.790,11.220,"Kynth o Ana a les brâs in powyow erel, yth hevel na vedha meur revrons rës dhedhy gans an Geltyon.",lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-005,train-ut,48.230,58.350,10.120,"Y feu gwary henwys Buhez Santez Anna ‘Bêwnans Ana Sans’ screfys in Bretonek i’n êtegves cansvledhen,",lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-006,train-ut,58.690,67.090,8.400,saw yma an text whath in dornscrif rag ny wrug den vëth trobla y honen dh’y bryntya.,lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-007,train-ut,67.720,73.230,5.510,"Mar nyns o meur a revrons rag Ana Sans dhe nôtya in mesk an Geltyon,",lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-008,train-ut,73.730,85.750,12.020,"Joakym, gour ty Ana, o le onorys whath gansans. Nyns o Joakym a les in mesk Sowsnegoryon naneyl.",lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-009,train-ut,86.240,94.580,8.340,"Coynt yw hedna rag Joakym a’n jeves worshyp brâs in Spayn, in Italy ha spessly in Jermany;",lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-010,train-ut,95.520,102.060,6.540,kebmyn yw Joakym i’n powyow-na avell hanow rag mebyon.,lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-011,train-ut,102.520,110.280,7.760,"Yma Joakym Sans dhe verkya rag ensampel in hanow tre i’n Poblegeth Check,",lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-012,train-ut,110.690,116.930,6.240,pòr ogas dhe oryon Jermany. I’n tavas Check i’n jëdh hedhyw,lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-013,train-ut,117.290,129.650,12.360,"an tyller yw gelwys Jáchymov , saw pàn o an dre radn a’n Empir Jerman, hy o gelwys Sankt Joachimsthal",lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-014,train-ut,129.960,140.240,10.280,‘Valy Joakym Sans’. Yth esa meur a vûn arhans pò silver ore in dor Joachimsthal,lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-015,train-ut,140.620,149.520,8.900,ha gerys brâs o an tyller rag y whelyow arhans. Dhyworth an pymthegves cansvledhen in rag,lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-016,train-ut,149.950,155.700,5.750,y fedha bathow gwrës a arhans dhyworth Sankt Joachimsthal,lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-017,train-ut,156.210,164.550,8.340,An bathow-na o gelwys Joachimsthaler ; ha thaler yw an form got.,lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-018,train-ut,164.980,172.120,7.140,An thaler a vedha ûsys dres oll Jermany hag in Iselalmayn kefrës.,lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-019,train-ut,172.590,183.000,10.410,"Pàn êth an Iselalmans dhe’n Bës Nowyth rag fùndya Amsterdam Nowyth, y a dhros gansans an hanow thaler,",lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-020,train-ut,183.400,188.790,5.390,saw in aga thavas y hèn a vedha leverys daler,lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-021,train-ut,189.210,202.180,12.970,I’n seytegves cansvledhen y feu Amsterdam Nowyth kemerys dhyworth an Iseldiryow ha rës dhe’n Sowson hag y a’s das’henwys Evrok Nowyth ‘New York’.,lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-022,train-ut,202.660,212.010,9.350,"Kyns napell yth esa bathow arhans Evrok Nowyth, dalers , ow mos adro in oll an tredhek gwlasva.",lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-023,train-ut,212.550,219.830,7.280,"Pàn wrug an Amerycans cafos aga anserhogneth, y a wrug dôwys daller / dollar",lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40004-024,train-ut,220.180,229.990,9.810,avell hanow sodhagyl aga mona. Ytho Joachimsthal hag indella sîra wydn Jesu Crist,lovinglivingcornish,https://www.skeulantavas.com/audio/4-ana-ha-joakym?c=nicholas-williams-podcasts-i
40005-000,train-ut,1.230,9.800,8.570,‘Heath’ pò ‘heather’ in Kernowek yw grug . Hèn yw an keth ger avell grug in Kembrek,lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40005-001,train-ut,10.110,20.410,10.300,ha fraoch in Godhalek. Hag ymowns aga thry ow tos dhyworth an wredhen Indo-Ewropek gwelys i’n Grêk ereike,lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40005-002,train-ut,20.740,26.260,5.520,"‘grug’, hanow a veu benthygys in Latyn avell erica",lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40005-003,train-ut,26.960,36.320,9.360,I’n termyn eus passys yth o an dyvers sortow grug a brow brâs in radnow west a’n enesow-ma.,lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40005-004,train-ut,37.130,42.940,5.810,"In mesk taclow erel y fedha grug ûsys rag gweliow,",lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40005-005,train-ut,43.370,49.540,6.170,"rag scubylly, avell cunys ha rag gwil lyw ‘dye’",lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40005-006,train-ut,50.080,55.720,5.640,ha lovonow. Yma ehen arbednek grug kefys in Kernow,lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40005-007,train-ut,56.040,66.000,9.960,ha hy a’s teves an hanow Latyn Erica vagans . In Sowsnek an grug-na yw gelwys Cornish heath,lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40005-008,train-ut,66.490,76.680,10.190,"Kebmyn yw hy wàr gorenys an Lesard, saw scant ny yll hy bos kefys in ken tyller vëth in Kernow.",lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40005-009,train-ut,77.060,90.870,13.810,"E. vagans yw consydrys flour nacyonal Kernow, kynth yw hy kefys in nebes tyleryow in Wordhen, hag in west a Frynk hag in Spayn kefrës. Yma whedhel coth",lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40005-010,train-ut,91.190,107.070,15.880,"ow kelmy E. vagans gans Josef Baramathia. Pàn dheuth Josef dhe Gernow in udn whelas sten, ny’n jeva ev tyller vëth rag ôstya ino. Ytho",lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40005-011,train-ut,107.300,113.430,6.130,ev a spênas an nos in cùsk wàr wely a E. vagans.,lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40005-012,train-ut,113.870,120.070,6.200,Ternos vyttyn ev a’s benegas ha benegys yw an plans alena rag.,lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40005-013,train-ut,121.880,129.730,7.850,E. vagans yw grug bÿthwer crev ha hy yw parys pùpprës dhe lesa.,lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40005-014,train-ut,130.200,142.030,11.830,Hèn yw an skyla rag an hanow specyfyk vagans ‘parys dhe wandra’. Yma E. vagans ow trehedhes uhelder a dry deg mesva.,lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40005-015,train-ut,143.130,155.280,12.150,Yma hy flourys gwydnrudh ow tos wàr an plans i’n hâv hag i’n kydnyaf hag y ow tevy in tosow pò racemes whegh mesva ahës.,lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40005-016,train-ut,155.880,164.160,8.280,Yth yw an flourys shâpys avell clegh bian hag in gwâv ymowns y ow chaunjya dhe lyw teg gell.,lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40005-017,train-ut,165.240,171.430,6.190,In Sowsnek Kernow E. vagans o gelwys Kekezza,lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40005-018,train-ut,171.920,179.750,7.830,hag apert yw an hanow-na wostallath dhe vos Kernowek. An secùnd element yw kesow,lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40005-019,train-ut,180.360,190.010,9.650,"an nùmber liesek a kesen ‘peat, turf cut for fuel’. An kensa element yw calessa dhe styrya.",lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40005-020,train-ut,190.740,205.340,14.600,"Drefen an flourys dhe vos in form a glegh bian ‘small bells’, dre lycklod yth o an plans kyns oll gelwys * clegh kesow in Kernowek, hèn yw dhe styrya ‘bells of the turf’.",lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40005-021,train-ut,206.510,212.290,5.780,"Pàn veu an hanow-na drës aberth in Sowsnek, ev a veu sempelhës",lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40005-022,train-ut,212.660,223.550,10.890,"ha’n kesson l inter an dhew k a veu kellys. Indella * clegh kesow a veu ke’kesow , an hanow aswonys dhyn.",lovinglivingcornish,https://www.skeulantavas.com/audio/5-erica-vagans-kekezza?c=nicholas-williams-podcasts-i
40006-000,train-ut,1.920,7.660,5.740,Yth yw an fawwedhen pò ‘beech’ kefys dres oll Kernow.,lovinglivingcornish,https://www.skeulantavas.com/audio/6-fawwedhen?c=nicholas-williams-podcasts-i
40006-001,train-ut,8.060,23.290,15.230,"In west an pow pàn vo coos fawwedh trehys dhe’n dor, dell yw ûsys ny wra an wredhen dewheles. Saw in Kernow Ÿst yma an wedhen ow tevy arta heb gonys vëth.",lovinglivingcornish,https://www.skeulantavas.com/audio/6-fawwedhen?c=nicholas-williams-podcasts-i
