id,subset,start_sec,end_sec,duration_sec,transcript_raw,source,audio_url
0102-032,train-ut,152.63,156.94,4.310,YN REAM LANE DY VIE AS MIEYS HENE Y R'EE,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-033,train-ut,157.61,161.96,4.350,YN SLANE THEAY GRAIHAGH OOILLEY JEH'N UN CHREE,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-034,train-ut,163.07,165.38,2.310,FOAST MIE YN THEAY,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-035,train-ut,165.89,171.93,6.040,VA DY VE FIRRINAGH AS FOAYS MOOAR YEE DY VEL EH MIE DY BRAGH,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-036,train-ut,172.76,177.02,4.260,GYS GLOYR YEE HENE V'AD OOILLEY ER NY'N OARDAGH,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-037,train-ut,177.62,181.76,4.140,AS ASS NY'N BOOAR CHA ROW AD DY AASE MOYRNAGH,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-038,train-ut,183.58,186.70,3.120,CHA ROW YN SEIHLL FO NIAU FOAST ER NY YANNOO,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-040,train-ut,193.02,196.89,3.870,AGH RAAD TA'N OOIR NISH CHEMMIT LESH Y CHEAYN,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-041,train-ut,197.68,201.98,4.300,RAAD TA ROLLAGEYN EAYST EAGHLAA AS GRIAN,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-042,train-ut,202.96,204.60,1.640,VA EAYNAGH GHOWIN,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-043,train-ut,205.24,208.24,3.000,GYN GRUNT GYN OOIR GYN KIONE,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-044,train-ut,208.82,210.60,1.780,GYN DOAIE GYN CUMMEY,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-045,train-ut,211.42,212.99,1.570,DORRAGHEY AS FEAYN,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-046,train-ut,214.20,216.36,2.160,CHA ROW AYN HAR NY HEEAR,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-047,train-ut,216.95,218.89,1.940,NY TWOAIE NY JIASS,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-048,train-ut,219.55,222.49,2.940,CHAMOO V'AYN HEESE NY HEOSE,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-049,train-ut,223.19,225.06,1.870,NY HOAL NY WASS,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-050,train-ut,225.57,227.21,1.640,IMBAGH NY TRAA,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-051,train-ut,227.86,229.93,2.070,DAAGHYN DOO NY BANE,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-052,train-ut,230.53,234.42,3.890,FOAST LESH NY RASSYN OC SHOH OOILLEY LANE,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-053,train-ut,235.29,238.31,3.020,AER OOIR AILE USHTEY,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-054,train-ut,238.88,240.73,1.850,NY'N GIARE KIONEYCHEILLEY,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-055,train-ut,241.36,244.72,3.360,AS UN OIE EAJEE GHOO,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-056,train-ut,245.24,251.78,6.540,REILL HARRISH OOILLEY AGH NIAU NISH JEANT MRISH NY CUMMALTEE,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-057,train-ut,252.46,256.19,3.730,RERE POOAR OOILLNIARTAL AS ARDCHREENAGH YEE,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-059,train-ut,261.83,263.60,1.770,DY HOWSEYN BRAA BEAYN,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-060,train-ut,264.26,266.15,1.890,NAGH VOD TRAA Y CHEAU,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-061,train-ut,267.28,271.71,4.430,AS GA TE GYN OIE FOAST TA AYN LHEID Y TRAA,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-062,train-ut,272.56,276.24,3.680,AS TA SHIRVEISH DY SCARREY LAA VEIH LAA,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-063,train-ut,278.43,286.83,8.400,ER LHEID Y LAA SHE'N SHESHAGHT CAGGEE NIAU FREGGYRT GYS SYMNEY REEOIL HER CUR DAUE,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-064,train-ut,287.93,291.35,3.420,OOILLEY DY HEET KIONGOYRT RISH STOYL Y GHLOYR,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-065,train-ut,292.03,295.83,3.800,DY CLASHTYN AIGNEYS LEIGH YN CROODAGH MOOAR,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-066,train-ut,296.90,298.92,2.020,HAINK FODD AS GERRIT,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-067,train-ut,299.67,301.77,2.100,VEIH DAGH BOAYN JEH'N REILL,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-068,train-ut,302.53,306.36,3.830,SERAPHIM GIAL AS POOARYN ARD LEEIDEIL,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-069,train-ut,307.03,311.80,4.770,NY TROOPHYN SOLLYS KIAULL VING FLAUNYSSAGH,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-070,train-ut,312.34,316.09,3.750,LHIEEN YN AER VANNEE MYR V'AD GETLAGH STIAGH,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-071,train-ut,316.64,318.34,1.700,SY VALLEY MOOAR SHE'N,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-072,train-ut,319.03,320.94,1.910,TROOID NY DORSYN ARD,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-073,train-ut,321.74,325.33,3.590,MAYNRYS AS BOGGEY LHIEENEY AYNS DAGH STRAID,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-021,train-ut,99.58,103.83,4.250,AGH YN AINLE SLOO LESH GLOYR Y J'EE MOOAR LANE,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-011,train-ut,48.49,50.44,1.950,NY'N CHREG CHA CREOI,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-005,train-ut,25.34,30.64,5.300,AGH TA NY AINLEYN JEANT JEH LHEID Y VREE NIARTAL AS GLEN,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-039,train-ut,187.64,191.94,4.300,AS SEOSE SYN AER MEIHT CHA ROWN OOIR NY SHASSOO,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-058,train-ut,257.28,261.18,3.900,ER LAA DY ROW SON LAGHYN TA AYNS NIAU,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-000,train-ut,1.53,4.91,3.380,YN OOILLEYNIARTAL SOIE ER STOYL REEOIL,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-001,train-ut,5.63,9.82,4.190,ARD SKYN DAGH YRJIDS ERSKYNTOWSE GLOYROIL,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-002,train-ut,10.75,14.67,3.920,AINLEYN ARDAINLEYN AS SLANE OOASHLEY NIAU,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-003,train-ut,15.30,19.61,4.310,MYR WHILLEEN GRIAN NY'N SHASSOO ER DAGH LAUE,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-004,train-ut,20.18,22.07,1.890,JEH'N PHOOAR GLOYROIL,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-005,train-ut,23.19,27.07,3.880,CROWNYN AS SLATTYN REILL HILG AD ER LAARE,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-006,train-ut,27.76,31.39,3.630,AYNS COWREY JEH NY'N GHEILL AS BIALLYS,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-007,train-ut,31.96,34.69,2.730,GOAILLRISH DY N'EE VEIH J'EE,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-009,train-ut,41.60,45.05,3.450,AS VA MAC YEE AYNS OGHRISH AYR NY HOIE,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-010,train-ut,46.10,49.77,3.670,GYS NISH FREILT FOLLIT VEIH NY FLAUNYSSEE,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-011,train-ut,50.93,53.76,2.830,CHERUBYN SOLLYS ER DAGH LHIATTEE VA,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-012,train-ut,54.59,58.47,3.880,GIAL MYR Y GHRIAN AIN ARD EC Y VUNLAA,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-013,train-ut,59.46,61.96,2.500,GLOYR POOAR AS REILL,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-014,train-ut,62.57,64.84,2.270,VA GRAINNIT ER E GHRUAIE,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-015,train-ut,65.85,74.50,8.650,AS VEIH E HOOILLYN GRAIH MYR STROO REN ROIE LESH VA FLAUNYS VILLISH ER NY LHIEENEY,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-016,train-ut,75.81,79.43,3.620,DAGH AINLE STREEU QUOI SMOO YINNAGH COOILLEENEY,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-017,train-ut,79.96,81.56,1.600,AYNS GRAIH SPRYDOIL,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-018,train-ut,82.19,84.10,1.910,AS AIGNEY MIE DYCHEILLEY,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-019,train-ut,85.19,89.00,3.810,SHOH'N AGHT VA FLAUNYS MYR UN CHEAYN DY GHRAIH,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-020,train-ut,89.96,94.85,4.890,AS JEH DAGH EUNYS NAGH VEL NAGH JEAN TRAIH,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-021,train-ut,96.54,100.29,3.750,EISHT HUG Y CROODAGH NIARTAL MAGH CORAA,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-022,train-ut,101.01,104.86,3.850,LESH REN NIAU VEIH'N UNDIN OOILLEY CRAA,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-023,train-ut,106.18,111.62,5.440,UN VAC ENNOIL DOOYRT ESHYN ROO TA AYM JIU ER NY GHEDDYN,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-026,train-ut,119.32,123.46,4.140,MY GHOO SMOO NIARTALS CORRYM RHYM AYNS GLOYR,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-027,train-ut,124.96,131.51,6.550,MISH J'EE AS MEE TA CUR Y LEIGH SHOH D'IU MYCHIONE MY VAC,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-028,train-ut,132.18,133.88,1.700,TA SHIU DY AKIN JIU,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-029,train-ut,134.86,139.33,4.470,ECHEY TA POOAR VOYM'S HARRISH OOILLEY NIAU,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-030,train-ut,140.31,144.31,4.000,AS DAGH NHEE TA LIVREIT STIAGH AYNS E LAUE,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-032,train-ut,150.84,154.73,3.890,DA TA MEE GOARDAGH SHIUISH NEESHT DY CHUR GEILL,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-033,train-ut,156.27,159.89,3.620,AYNS NIAU NY MISH CHA VEL UNNANE NY SMOO,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-034,train-ut,160.86,164.40,3.540,AS LIORYM PENE KIONGOYRT RIUISH TA MEE LOO,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-035,train-ut,165.42,173.47,8.050,DY CHOOILLEY GHLIOON UAGH GROYM AYNS AMMYS DA VEES TILGIT MAGH ASS MENISH SON DY BRAA,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-036,train-ut,174.38,175.93,1.550,AS VEIH MY VAYNRYS,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-037,train-ut,176.47,178.56,2.090,VEIH MY GHRAYSE AS FOAYR,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-038,train-ut,179.25,182.62,3.370,VEIH OOILLEY'N CHAIRYS TECHEY AYNS MY GHLOYR,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-039,train-ut,185.02,187.06,2.040,SHOH LOAYR Y J'EE,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-040,train-ut,187.67,189.76,2.090,AS OOILLEY CHEAYLL E GHOO,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-041,train-ut,190.73,194.55,3.820,LESH SKELL E GHLOYR VA EDDIN FOLLIT VOUE,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-042,train-ut,195.73,203.91,8.180,NY AINLEYN MYR DY BEAGH AD BOOIAGH LESH CHROYM SHEESE NY'N GIONE AS GHLIOON AYNS BIALLYS,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-043,train-ut,204.69,207.55,2.860,MYR DY BEAGH AD BOOIAGH TA MEE GRA,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-044,train-ut,208.49,212.52,4.030,SON AYRN CHA ROW MYR HEE SHIU AYNS Y TRAA,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-045,train-ut,214.26,218.05,3.790,EISHT HROG YN ENISH VOOAR AYNS UN CHORAA,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0103-046,train-ut,218.82,222.64,3.820,GLOYR BOOISE AS MOYLLEY GYS MAC YEE DY BRAA,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
